X2011_92926_H133A2_22883_DU09.06S07628.CEL	X2011_92937_H133A2_22884_DU09.06S06256.CEL	X2011_92946_H133A2_22885_DU09.06S06678.CEL	X2011_92938_H133A2_22886_DU09.06S06855.CEL	X2011_92962_H133A2_22887_DU09.06S07004.CEL	X2011_92956_H133A2_22888_DU09.06S07428.CEL	X2011_92954_H133A2_22889_DU09.06S13443.CEL	X2011_92951_H133A2_22890_DU09.06S13955.CEL	X2011_92996_H133A2_22891_DU09.06S13209.CEL	X2011_92958_H133A2_22892_DU09.06S13164.CEL	X2011_92934_H133A2_22893_DU09.06S13060.CEL	X2011_92971_H133A2_22894_DU09.06S12923.CEL	X2011_92975_H133A2_22895_DU09.06S15133.CEL	X2011_92989_H133A2_22896_DU09.06S15278.CEL	X2011_92987_H133A2_22897_DU09.06S09455.CEL	X2011_92981_H133A2_22898_DU09.06S15952.CEL	X2011_267095_HG.U133A_2_42021_DU09.06S16033.CEL	X2011_267096_HG.U133A_2_42022_DU09.06S09810.CEL	X2011_267175_HG.U133A_2_41930_DU09.06S10010.CEL	X2011_267097_HG.U133A_2_42023_DU09.06S12293.CEL
201233_at	8.26595825014056	8.22265113546342	8.31002329293496	8.29159912440348	8.33493916371528	8.21871630220988	8.29153588433142	8.19702082738937	8.37584024966531	8.19800510371452	8.20989169924731	7.9340261958576	8.28817778168268	8.38333402989151	8.24301618655351	8.19156462459607	7.94058361055724	8.10562420814202	8.05292494266289	7.7918589667344
201282_at	8.88745462981982	8.78373011419925	8.85867394024366	9.0385916817521	8.92225194462645	8.83257995359954	8.9070859314109	8.92750824225424	8.91469124785874	8.79762394103633	8.85567394621355	9.73050807409558	9.10276619259947	8.80780616103909	9.11052936843771	8.57485870740377	9.03162448476292	9.13155271140435	9.09859853583459	8.81114815341178
201291_s_at	3.78857967281893	4.13032533369863	3.99627593929057	3.71211112018556	4.30361682653523	3.95333428073789	4.06252596178538	4.18537577020175	3.92407668579416	3.71168723201986	3.87277612117972	3.91457951423104	3.9291663762276	3.84602758097313	4.42386224040062	3.84586568303945	4.19556686676913	4.23794504055772	4.17095825750907	4.10486083090706
201323_at	6.37526770335538	6.86874497537638	6.82738076808809	6.69114009536782	6.9896036358937	7.21437018047916	7.10004386982863	6.93354568688856	7.26221604734551	6.95860360763693	7.14260470693687	6.64394292666014	6.81529237395553	6.92673958885957	6.99091956667127	6.99695615334567	6.46665347846197	6.35374646217894	6.45266277412478	6.07484991726415
201323_at.1	6.37526770335538	6.86874497537638	6.82738076808809	6.69114009536782	6.9896036358937	7.21437018047916	7.10004386982863	6.93354568688856	7.26221604734551	6.95860360763693	7.14260470693687	6.64394292666014	6.81529237395553	6.92673958885957	6.99091956667127	6.99695615334567	6.46665347846197	6.35374646217894	6.45266277412478	6.07484991726415
201337_s_at	10.0169373408251	9.69863757165738	9.93345404517847	9.66001959577754	9.5275427390446	9.87396334612053	9.67977008128575	9.38725649074734	9.61847806311219	9.31193334675672	9.63783126439852	9.09076093458219	9.57587224216623	9.71158308989865	9.56999063841055	9.55091312380601	7.58377787551455	7.7352397758907	7.68270301770163	7.32135515536199
201338_x_at	10.9630509899348	11.0837878875579	11.2365964406686	11.2361434409311	11.4648313309642	11.3440881796838	11.3594487441616	11.5132149912657	11.7238901181356	11.5924759211518	11.4174302644502	10.8894947284216	11.3979220551213	11.4210354743322	11.2906210262844	11.5406613978813	11.1912262773603	11.0002410558419	11.3350695264545	10.8802469460644
201348_at	7.60203677533487	6.9524192733741	7.05762167485402	6.64412601013833	6.46459747749433	6.53949328547646	6.42256114945429	6.13307556181328	5.9601676909907	6.34094807856269	6.57841010574297	6.66548681469508	5.76345442172745	6.81101426398543	6.55399182418976	6.15180643972902	6.95823854021397	6.77812109459023	6.47441895853823	6.82510253279417
201366_at	10.456544108426	10.5582264134871	10.4003363193714	10.0454986283031	10.4887454006395	10.5217669779232	10.50366860682	10.5795624246792	10.4072894087351	10.3435199981048	10.3852499077654	10.1502931228068	10.3518520775235	10.2791695186317	10.4032617286033	10.7150658179696	8.87717275739695	8.97176197008227	9.39289749777933	8.98613486969054
201383_s_at	9.92987818208717	9.71783646388953	9.84505674398066	9.74983796148904	9.64583128461871	9.73099104143743	9.69049048701895	9.61306742217023	9.60054780244032	9.5435195627857	9.7674657550784	9.45053244725277	9.70781932093112	9.80241693779532	9.83997705343499	9.63992740727037	8.84373157143676	8.88327092022667	8.78839442722635	8.72828382352392
201398_s_at	10.2906688634556	10.3837608656881	10.7524039529457	10.3748222008441	10.5759408661702	11.1567297607665	10.96682485598	10.7097717076467	11.5286992793691	11.2207432283232	10.6758691891809	10.39967488665	10.3558374065747	10.3688317476542	10.8465750769908	11.1824512759774	8.25506944956611	9.22958736807916	10.6142439033374	8.32825450554491
